"film_title","languages","colour","format","producer","cert_no","cert_date","endorsement","rule_applied","original_length_m","length_deleted_m","final_length_m","deletions","reductions","insertions","replacements","gazette_identifier","gazette_date","source_url"
"Haridarahan","Hindi","","","Kala Kendra, Shrikant Studios, Chombur, Bombay.","9110","14-9-53","U","","","","","[IV] Shot of Mahantri kicking the Puja utensils (1.2192 m)","","","","in.gazette.1953.124","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.1953.124"
"Surang","Hindi","","","Rajkamal Kala Mandir Ltd., Shantahree, Govt. Gate Road, Bombay-12.","9139","17-9-63","U","","3772.15","31.0896","3772.15","[III] All shots of dogs barking at the boy and girl when they are picking up bread from the dog's plate and shots of dogs chasing the children until they fall from the cliff and are killed (16.764 m) || [XV] All shots after Pagli Devi asks Dayaram to keep away from her, except showing Payam catching hold of her arm (15.24 m)","","[I] One close-up shot of Munshi with dialogue about compensation to the deceased and taking the 'Be. C/o' for expenses in connection with the burning of the dead body of Lalua (1.2192 m)","","in.gazette.1953.124","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.1953.124"
"Papi","Hindi","","","Shri Ranjit Movietone Co., Main Road, Dadar, Bombay.","8026","17-9-63","U","","","","","[I] Dialogue between a man and Raju from 'Charan toraf...' up to '...badi taqat bana sakte hain' (9.7536 m) || [II] Dialogues between the child and Raju from 'Manushya janma, tou bal' up to 'main bachcha nahin teri atma hoon' (20.1168 m) || [XII] Raju's words: 'suniyo—' up to '—uddhar kar sakta hai' (15.8496 m) || [XII] Raju's words: 'Nakhraji—' up to '—sarkar, ke samne' (5.4864 m) || [XII] Raju's words: 'Chhote mere hunar' up to '—kaam kam aayenge' (4.2672 m)","","","","in.gazette.1953.124","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.1953.124"
"Thokar","Hindi","","","Jubilee Pictures Ltd, Marita Villa, 7, Bungalows, Andheri, Bombay.","","18-9-53","U","","","","","[XIV] Song 'Ayegham-e-dil Korun w' (83.82 m)","","","","in.gazette.1953.124","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.1953.124"
"Gunah","Hindi","","","Kidar Sharma, Ambition Pictures, Techart Studios Ltd., Dadar, Bombay.","","18-9-53","U","","","","","[I A] Scenes of Tiddi's quarrel with the potter, Pandit going on the camel and remarks of Posei and Patch Chand including some portion of the mother's plea for sending the boy to school (314.246 m)","","","","in.gazette.1953.124","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.1953.124"
"Bhai Ratal Prabesh","Bengali","","","The Radha Films Ltd., 72, Russa Road South, Tollygunj, Calcutta-33.","8411","18-9-53","U","","","","","[2] Omit Sanakan’s gesture of joining palms when he scandalizes Rita (16.1544 m) || [9] Shorten the arguments between Shambuk and Sri Ttamachandra and omit the actual execution (15.24 m)","","","","in.gazette.1953.124","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.1953.124"
"Asal Magan","Tamil","","","Messrs. Associated Producers, 11-Gopalakrishna Road, Madras-17.","","","U","","","","","[2] In the classroom scene, delete teacher's words, 'Ennappa nee koodi mounaviratham irukkaya? Unakkum thani Mahanan venuma?' (2.7432 m) || [3] Remove the dialogue which says 'Enna Iruppa Ivathan avar avahaittimennu oliolrathuku uken, avasarapadaraye' (5.4864 m)","","","","in.gazette.1953.124","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.1953.124"
"Maash","Hindi","","","Messrs. Filmkar Ltd.","10220","","U","","","","","[Reel III, VII and XI] To erase the cuddling scene between Tara and Ranjit at the end of song No. 2, again when Ranjit puts ring on Tara's finger and in the scene showing Tara trying to commit suicide (0.008128 m) || [Reel VIII] The whipping booths and the reference 'Vaishnavism' (replaced with 'Brahminism') and wound of whipping reduced to two strokes (0.0085344 m) || [Reel XII] The fire sequence and accompanying shrieks (0.00295656 m)","","","","in.gazette.1954.100","1954-03-06T00:00:00Z","https://archive.org/details/in.gazette.1954.100"
"Rangin Chutkiyan No. 10 (Color)","Hindi","Color","","Famous Pictures Ltd., 534, Sandhurst Bridge, Bombay.","10330","9-2-54","U","","","","","Shot of the naked sadhus jumping off. (6.096 m) || Sound of the words 'in vain' from the sentence 'Mounted police...opt to fremled chaw M'. (19.5072 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"The Perils of Pauline","English","","","Allied Serial Corporation, G. Block, 2nd Floor, Naan Talkies Building Bombay-4.","10348","10-2-54","U","","","","","[VII] Word 'Heathon' as referred to in respect of the Idols (sound erased). (0 m) || [VIII] Shots of Ward throwing grenades from the aeroplane at the scared natives and of accompanying blasts. (57 m) || [X & XI] Entire sequence of foreigners entering the Indian temple with hIiohb on and all their scenes laid inside the temple, retaining only the portions showing Dr. Hargrave holding the plaque in hand and deciding to proceed to New York and the out-in of ‘Dr. Bashan making a similar resolve'. (205.435 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
